"date,product,category,region,units_sold,unit_price,discount,revenue"
"2026-01-03,Premium Feed,Feed,Butwal,120,1500,0.05,171000"
"2026-01-05,Standard Feed,Feed,Kathmandu,95,1200,0.02,111720"
"2026-01-08,Starter Feed,Feed,Pokhara,80,1000,0.00,80000"
"2026-01-11,Premium Feed,Feed,Narayanghat,150,1500,0.08,207000"
"2026-01-15,Standard Feed,Feed,Butwal,110,1200,0.05,125400"
"2026-01-18,Starter Feed,Feed,Kathmandu,70,1000,0.03,67900"
"2026-01-21,Premium Feed,Feed,Pokhara,135,1500,0.05,192375"
"2026-01-23,Standard Feed,Feed,Narayanghat,100,1200,0.00,120000"
"2026-01-26,Starter Feed,Feed,Butwal,88,1000,0.04,84480"
"2026-01-29,Premium Feed,Feed,Kathmandu,160,1500,0.10,216000"
"2026-02-02,Standard Feed,Feed,Pokhara,115,1200,0.05,131100"
"2026-02-05,Starter Feed,Feed,Narayanghat,90,1000,0.02,88200"
